"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/03/2019","Target","TARGET T-1801","37.33","debit","Shopping","credit_spending","",""
"4/03/2019","Village of Algonquin","VILLAGE OF ALGONQUIN","134.00","debit","Fees & Charges","credit_spending","",""
"4/03/2019","Transfer from checking_bills","PAYMENT-THANK YOU","536.40","credit","Credit Card Payment","credit_bills","",""
"4/03/2019","Transfer from checking_savings","ONLINE TRANSFER FROM SAV ...6356TRANSACTION#: 8095856591","4000.00","credit","Transfer","checking_spending","",""
"4/03/2019","Transfer to credit_spending","PAYMENT TO CHASE CARD ENDING IN0545 04/03","6742.60","debit","Credit Card Payment","checking_spending","",""
"4/03/2019","Transfer to checking_spending","ONLINE TRANSFER TO CHK ...4774 TRANSACTION#: 8095856591 04/03","4000.00","debit","Transfer","checking_savings","",""
"4/03/2019","Transfer to credit_bills","PAYMENT TO CHASE CARD ENDING IN5444 04/03","536.40","debit","Credit Card Payment","checking_bills","",""
"3/31/2019","SHARKNINJA SALES COMPANY","SHARKNINJA SALES COMPANY","1.00","debit","Home Supplies","credit_spending","",""
"5/02/2017","Jasna Ligueno","Jasna Ligueno","100.00","debit","Cash & ATM","checking_savings","",""
"4/03/2019","ACTBLUE*TULSI.GABBARD","ACTBLUE*TULSI.GABBARD","6.00","debit","Charity","credit_spending","",""
"4/03/2019","QUIP NYC INC","QUIP NYC INC","80.00","debit","Personal Care","credit_spending","",""
"4/03/2019","GENTLEMENS ROW","SQ *GENTLEMENS ROW","31.25","debit","Hair","credit_spending","",""
"4/03/2019","Transfer from checking_spending","Payment Thank You - Web","6742.60","credit","Credit Card Payment","credit_spending","",""
"4/03/2019","Lakeside Collection","LAKESIDE COLLECTION","23.19","debit","Furnishings","credit_spending","",""
"4/03/2019","Trader Joe's","TRADER JOE'S #699  QPS","35.30","debit","Groceries","credit_spending","",""
"4/03/2019","Amazon","AMZN Mktp US*MW3U616L0","29.98","debit","Shopping","credit_spending","",""
"4/03/2019","Home Depot","THE HOME DEPOT 1940","16.99","debit","Home Improvement","credit_spending","",""
"4/03/2019","ICP*Stretch-n-Grow of McH","ICP*Stretch-n-Grow of McH","22.50","debit","Kids Activities","credit_spending","",""
"4/03/2019","Thorntons Inc","THORNTONS #0316","33.43","debit","Gas & Fuel","credit_spending","",""
"4/03/2019","Target","TARGET        00018010","47.54","debit","S: Misc","credit_spending","",""
"4/02/2019","Target","TARGET        00011767","3.58","debit","S: Misc","credit_spending","",""
"4/02/2019","Jewel","JEWEL-OSCO","26.00","debit","Groceries","credit_spending","",""
"4/02/2019","SHARKNINJA SALES COMPANY","SHARKNINJA SALES COMPANY","45.69","debit","Home Supplies","credit_spending","",""
"4/02/2019","Thorntons Inc","THORNTONS #0119","34.92","debit","Gas & Fuel","credit_spending","",""
"4/02/2019","Amazon","AMZN Mktp US*MW1W80Q80","18.99","debit","Shopping","credit_spending","",""
"4/02/2019","DIGITALOCEAN.COM","DIGITALOCEAN.COM","7.49","debit","Business Services","credit_bills","",""
"4/01/2019","Fratellos","FRATELLOS HOT DOGS","30.51","debit","Fast Food","credit_spending","",""
"4/01/2019","Walgreens","WALGREENS #5284","10.29","debit","Pharmacy","credit_spending","",""
"4/01/2019","Firestone","FIRESTONE595667","1049.27","debit","Service & Parts","credit_spending","",""
"4/01/2019","The Algonquin Sub Shop","THE ALGONQUIN SUB SHOP","33.67","debit","Fast Food","credit_spending","",""
"4/01/2019","Prime Video*MW53075H2","Prime Video*MW53075H2","1.99","debit","Movies & DVDs","credit_spending","",""
"4/01/2019","Target","TARGET        00018010","21.54","credit","Shopping","credit_spending","",""
"4/01/2019","Amazon","AMZN Mktp US*MW9AX5DY1","73.97","debit","Shopping","credit_spending","",""
"4/01/2019","Target","TARGET        00018010","73.38","debit","S: Misc","credit_spending","",""
"4/01/2019","Ford","FORD MOTOR CR    FORDCREDITPPD ID: 3534610001","500.00","debit","Auto Payment","checking_bills","",""
"3/31/2019","Trader Joe's","TRADER JOE'S #699  QPS","82.54","debit","Groceries","credit_spending","",""
"3/31/2019","Discovery Center Museum of Rockford Inc.","DISCOVERY CENTER MUSEUM","32.00","debit","Arts","credit_spending","",""
"3/31/2019","Audible.com","Audible US*MW60U2590","14.95","debit","Books","credit_spending","",""
"3/31/2019","Dunkin Donuts","DD/BR #338747 Q35","4.26","debit","Coffee Shops","credit_spending","",""
"3/31/2019","Amazon","AMZN Mktp US*MW2NN2MC2","59.99","debit","Shopping","credit_spending","",""
"3/31/2019","Prime Video*MW3O246K1","Prime Video*MW3O246K1","3.99","debit","Movies & DVDs","credit_spending","",""
"3/31/2019","Coopers","COOPER'S HAWK S BARR","110.81","debit","Restaurants","credit_spending","",""
"3/31/2019","BURGERFI-GLENVIEW","BURGERFI-GLENVIEW","20.10","debit","Fast Food","credit_spending","",""
"3/29/2019","KRANZE TECHNOLOG QUICKBOOKS PPD ID: 1722616653","KRANZE TECHNOLOG QUICKBOOKSPPD ID: 1722616653","3404.15","credit","Paycheck","checking_spending","",""
"3/29/2019","Transfer to checking_savings","Online Transfer to  SAV ...6356transaction#: 8055403166","231.00","debit","Transfer","checking_spending","",""
"3/29/2019","Transfer to checking_bills","Online Transfer to  CHK ...4717transaction#: 8055403163 03/29","703.00","debit","Transfer","checking_spending","",""
"3/29/2019","Transfer from checking_spending","Online Transfer from  CHK ...4774 transaction#: 8055403166","231.00","credit","Transfer","checking_savings","",""
"3/29/2019","Thorntons Inc","THORNTONS #0316","30.79","debit","Gas & Fuel","credit_spending","",""
"3/29/2019","Jewel","JEWEL-OSCO","3.56","debit","Groceries","credit_spending","",""
"3/29/2019","Amazon","Amazon.com*MW9ZO6GC2","23.86","debit","Shopping","credit_spending","",""
"3/29/2019","Home Depot","THE HOME DEPOT 1940","51.35","debit","Home Improvement","credit_spending","",""
"3/29/2019","Dog Walk","DOG WALK","19.76","debit","Fast Food","credit_spending","",""
"3/29/2019","Home Depot","THE HOME DEPOT 1940","12.87","debit","Home Improvement","credit_spending","",""
"3/29/2019","Audible.com","Audible US*MW72Q3PX2","5.00","debit","Books","credit_spending","",""
"3/29/2019","BEYOND TOMORROW COMICS","BEYOND TOMORROW COMICS","34.12","debit","S: Comic Books","credit_spending","",""
"3/29/2019","Nicor Gas","NICOR GAS BILL","124.75","debit","Utilities","credit_bills","",""
"3/29/2019","Transfer from checking_spending","Online Transfer from  CHK ...4774 transaction#: 8055403163","703.00","credit","Transfer","checking_bills","",""
"3/28/2019","Amazon","AMZN Mktp US*MW8YW3PS2","14.88","debit","Shopping","credit_spending","",""
"3/28/2019","Amazon","AMZN Mktp US","32.99","credit","Shopping","credit_spending","",""
"3/28/2019","CHECK","CHECK 874","120.00","debit","Check","checking_bills","",""
"3/27/2019","CHECK","CHECK 1362","52.00","debit","Check","checking_spending","",""
"3/27/2019","REMOTE ONLINE DEPOSIT # 1","REMOTE ONLINE DEPOSIT #1","50.00","credit","Income","checking_spending","",""
"3/27/2019","Amazon","AMZN Mktp US","34.99","credit","Shopping","credit_spending","",""
"3/27/2019","Renovo Endodontic Studio","RENOVO ENDODONTIC STUDIO","1009.00","debit","Dentist","credit_spending","",""
"3/27/2019","Amazon","AMZN Mktp US*MW7XD25T1","67.98","debit","Shopping","credit_spending","",""
"3/26/2019","CHICAGO BOTANI60029436","CHICAGO BOTANI60029436","4.35","debit","Restaurants","credit_spending","",""
"3/26/2019","Target","TARGET        00018010","72.21","credit","Shopping","credit_spending","",""
"3/26/2019","Trader Joe's","TRADER JOE'S #699  QPS","92.40","debit","Groceries","credit_spending","",""
"3/26/2019","Jewel","JEWEL-OSCO","60.10","debit","Groceries","credit_spending","",""
"3/26/2019","Target","TARGET        00018010","29.92","debit","S: Misc","credit_spending","",""
"3/26/2019","CLOTH & PAPER","CLOTH & PAPER","49.00","debit","Office Supplies","credit_spending","",""
"3/26/2019","Target","TARGET        00018010","37.05","credit","Shopping","credit_spending","",""
"3/26/2019","Jewel","JEWEL-OSCO","37.80","debit","Groceries","credit_spending","",""
"3/26/2019","Amazon","AMZN Mktp US*MW47U3X10","5.77","debit","Shopping","credit_spending","",""
"3/26/2019","ALGONQUIN LUBE EXPRESS","ALGONQUIN LUBE EXPRESS","39.00","debit","Service & Parts","credit_spending","",""
"3/26/2019","Target","TARGET        00018010","203.74","debit","S: Misc","credit_spending","",""
"3/26/2019","Thorntons Inc","THORNTONS #0316","31.21","debit","Gas & Fuel","credit_spending","",""
"3/25/2019","NON-CHASE ATM WITHDRAW 753762 03/24MCCORMICK","NON-CHASE ATM WITHDRAW753762  03/24MCCORMICK","203.95","debit","Cash & ATM","checking_spending","",""
"3/25/2019","McCormick Place","MCCORMICK PLACE","15.00","debit","Business Services","credit_spending","",""
"3/25/2019","Meijer","MEIJER # 218","68.21","debit","Groceries","credit_spending","",""
"3/25/2019","Audible.com","Audible US*MW8TR6PC0","2.76","debit","Books","credit_spending","",""
"3/25/2019","VOLO AUTO MUSEUM","VOLO AUTO MUSEUM","30.00","debit","Arts","credit_spending","",""
"3/25/2019","SP * SAND STRAW","SP * SAND STRAW","17.00","debit","Gift","credit_spending","",""
"3/25/2019","Audible.com","Audible US*MW7MD00L0","5.99","debit","Books","credit_spending","",""
"3/25/2019","C2E2 CHICAGO COMIC","C2E2 CHICAGO COMIC","56.00","debit","Alcohol & Bars","credit_spending","",""
"3/24/2019","Chick-Fil-A","CHICK-FIL-A #02845","32.65","debit","Fast Food","credit_spending","",""
"3/24/2019","Jd's Q & Brew","JD'S Q & BREW","10.30","debit","Restaurants","credit_spending","",""
"3/24/2019","Amazon","AMZN Mktp US*MW06A20H0","45.56","debit","Shopping","credit_spending","",""
"3/24/2019","Target","TARGET.COM  *","73.70","debit","S: Misc","credit_spending","",""
"3/24/2019","Target","TARGET.COM  *","1.90","debit","S: Misc","credit_spending","",""
"3/24/2019","Thorntons Inc","THORNTONS #0316","24.16","debit","Gas & Fuel","credit_spending","",""
"3/24/2019","Red Robin","DOORDASH*RED ROBIN GOU","31.21","debit","Restaurants","credit_spending","",""
"3/24/2019","American Eagle Outfitters","A EAGLE OUTFTR00006593","125.22","credit","Clothing","credit_spending","",""
"3/24/2019","Jd's Q & Brew","JD'S Q & BREW","10.30","debit","Restaurants","credit_spending","",""
"3/24/2019","Amazon","AMZN Mktp US","19.99","credit","Shopping","credit_spending","",""
"3/24/2019","Amazon","AMZN Mktp US*MW7BR71J0","102.97","debit","Shopping","credit_spending","",""
"3/22/2019","Transfer to checking_savings","Online Transfer to  SAV ...6356transaction#: 8033174197","231.00","debit","Transfer","checking_spending","",""
"3/22/2019","Transfer to checking_bills","Online Transfer to  CHK ...4717transaction#: 8033174202 03/22","703.00","debit","Transfer","checking_spending","",""
"3/22/2019","Transfer from checking_spending","Online Transfer from  CHK ...4774 transaction#: 8033174197","231.00","credit","Transfer","checking_savings","",""
"3/22/2019","Playstation Network","SIE*PLAYSTATIONNETWORK","44.99","debit","Entertainment","credit_spending","",""
"3/22/2019","Amazon","AMZN Mktp US*MW3G37151","6.89","debit","Shopping","credit_spending","",""
"3/22/2019","Beyond Tomorrow Comics","BEYOND TOMORROW COMICS","25.15","debit","S: Comic Books","credit_spending","",""
"3/22/2019","Dunkin Donuts","DUNKIN #353718 Q35","3.42","debit","Coffee Shops","credit_spending","",""
"3/22/2019","Billy's Hot Dog & Beef Express Inc","BILLYS HOT DOG AND BEEF E","36.97","debit","Fast Food","credit_spending","",""
"3/22/2019","Jewel","JEWEL-OSCO","92.26","debit","Groceries","credit_spending","",""
"3/22/2019","Jewel","JEWEL-OSCO","32.07","debit","Groceries","credit_spending","",""
"3/22/2019","Transfer from checking_spending","Online Transfer from  CHK ...4774 transaction#: 8033174202","703.00","credit","Transfer","checking_bills","",""
"3/21/2019","ATM Withdrawal","ATM WITHDRAWAL000251  03/211350 E AL","60.00","debit","Cash & ATM","checking_spending","",""
"3/21/2019","Coopers","COOPERS HAWK ARLGNTN HTS","58.94","debit","Restaurants","credit_spending","",""
"3/21/2019","Wendy's","WENDYS #9457","2.13","debit","Fast Food","credit_spending","",""
"3/21/2019","Fbfundraiser","FBFUNDRAISER","30.00","debit","Restaurants","credit_spending","",""
"3/20/2019","Taco Bell","TACO BELL #32100","3.00","debit","Fast Food","credit_spending","",""
"3/20/2019","Shell","SHELL OIL 57444083109","30.93","debit","Gas & Fuel","credit_spending","",""
"3/20/2019","Target","TARGET.COM  *","8.49","debit","S: Misc","credit_spending","",""
"3/20/2019","Taco Bell","TACO BELL #32100","7.74","debit","Fast Food","credit_spending","",""
"3/20/2019","Thorntons Inc","THORNTONS #0316","25.44","debit","Gas & Fuel","credit_spending","",""
"3/20/2019","Target","TARGET.COM  *","89.19","debit","S: Misc","credit_spending","",""
"3/19/2019","Amazon","Amazon.com","30.80","credit","Shopping","credit_spending","",""
"3/19/2019","Orchard Meats Deli","ORCHARD MEATS DELI   WI","28.08","debit","Groceries","credit_spending","",""
"3/19/2019","Orchard Meats Deli","ORCHARD MEATS DELI   WI","6.24","debit","Groceries","credit_spending","",""
"3/19/2019","Gofndme Jenny Sdr","GoFndMe* Jenny s SDR surg","55.00","debit","Doctor","credit_spending","",""
"3/19/2019","Commonwealth Ed Online","COMMONWEALTH ED  ONLINE PMT CKF323729887POS WEB ID: 1061291316","75.76","debit","Credit Card Payment","checking_bills","",""
"3/18/2019","The Algonquin Sub Shop","THE ALGONQUIN SUB SHOP","53.61","debit","Fast Food","credit_spending","",""
"3/18/2019","Quickpay With Zelle","QuickPay with Zelle payment fromCLEGG, MELISSA BACd271bd79d","20.00","credit","Credit Card Payment","checking_bills","",""
"3/17/2019","Trader Joe's","TRADER JOE'S #699  QPS","111.83","debit","Groceries","credit_spending","",""
"3/17/2019","Five Guys","5GUYS 0579 QSR","24.42","debit","Fast Food","credit_spending","",""
"3/17/2019","Target","TARGET        00018010","67.39","debit","S: Misc","credit_spending","",""
"3/17/2019","Improv Comedy Theatre","IMPROV COMEDY THEATRE","24.16","debit","Movies & DVDs","credit_spending","",""
"3/17/2019","Meijer","MEIJER # 206","21.54","credit","Groceries","credit_spending","",""
"3/17/2019","Amazon","Amazon.com*MW8JH2NL0","30.80","debit","Shopping","credit_spending","",""
"3/17/2019","Target","TARGET        00018010","16.15","credit","Shopping","credit_spending","",""
"3/17/2019","Meijer","MEIJER # 206","12.83","debit","Groceries","credit_spending","",""
"3/17/2019","Kohl's","KOHLS #0662","39.09","debit","Clothing","credit_spending","",""
"3/17/2019","Lids","LIDS 5921","30.79","debit","Clothing","credit_spending","",""
"3/17/2019","Tst Kuma Corner","TST* KUMA S CORNER - SCHA","54.52","debit","Restaurants","credit_spending","",""
"3/15/2019","Naf Naf Grill","NAF NAF GRILL 013","11.91","debit","Restaurants","credit_spending","",""
"3/15/2019","Amazon","AMZN Mktp US","15.99","credit","Shopping","credit_spending","",""
"3/15/2019","Beyond Tomorrow Comics","BEYOND TOMORROW COMICS","33.22","debit","S: Comic Books","credit_spending","",""
"3/15/2019","Amazon","AMZN Mktp US*MI6ES2I12","42.89","debit","Shopping","credit_spending","",""
"3/15/2019","Target","TARGET.COM  *","42.47","debit","S: Misc","credit_spending","",""
"3/15/2019","Interest","INTEREST PAYMENT","0.02","credit","Interest Income","checking_spending","",""
"3/15/2019","Transfer to checking_savings","Online Transfer to  SAV ...6356transaction#: 8012066037","231.00","debit","Transfer","checking_spending","",""
"3/15/2019","Kranze Technolog Quickbooks","KRANZE TECHNOLOG QUICKBOOKSPPD ID: 1722616653","2794.29","credit","Paycheck","checking_spending","",""
"3/15/2019","Transfer to checking_bills","Online Transfer to  CHK ...4717transaction#: 8012066038 03/15","703.00","debit","Transfer","checking_spending","",""
"3/15/2019","Transfer from checking_spending","Online Transfer from  CHK ...4774 transaction#: 8012066037","231.00","credit","Transfer","checking_savings","",""
"3/15/2019","Interest","INTEREST PAYMENT","0.04","credit","Interest Income","checking_savings","",""
"3/15/2019","Transfer from checking_spending","Online Transfer from  CHK ...4774 transaction#: 8012066038","703.00","credit","Transfer","checking_bills","",""
"3/15/2019","Interest","INTEREST PAYMENT","0.03","credit","Interest Income","checking_bills","",""
"3/14/2019","Target","TARGET        00018010","252.48","debit","S: Misc","credit_spending","",""
"3/14/2019","Village of Algonquin","VILLAGE OF ALGON W/S BILLPPD ID: 36-6005766","77.10","debit","Fees & Charges","checking_bills","",""
"3/13/2019","Amazon","AMZN Mktp US","22.99","credit","Shopping","credit_spending","",""
"3/13/2019","Airport","NEW ORLEANS AIRPORT","12.52","debit","Travel","credit_spending","",""
"3/13/2019","Amazon","AMZN Mktp US","19.99","credit","Shopping","credit_spending","",""
"3/13/2019","Amazon","Amazon Prime","119.00","debit","Shopping","credit_spending","",""
"3/13/2019","Amazon","AMZN Mktp US","22.99","credit","Shopping","credit_spending","",""
"3/13/2019","Buffalo Wild Wings","BUFFALO WILD WINGS","23.78","debit","Restaurants","credit_spending","",""
"3/13/2019","Lot X Car","LOT X CAR RENTAL","42.00","debit","Rental Car & Taxi","credit_spending","",""
"3/13/2019","Macy's","MACYS  SPRING HILL","347.37","credit","Clothing","credit_spending","",""
"3/13/2019","Panera Bread","PANERA BREAD #203291","21.73","debit","Fast Food","credit_spending","",""
"3/13/2019","Trader Joe's","TRADER JOE'S #699  QPS","194.36","debit","Groceries","credit_spending","",""
"3/13/2019","Amazon","AMZN Mktp US","19.99","credit","Shopping","credit_spending","",""
"3/13/2019","United","UNITED      0162600307479","60.00","debit","Air Travel","credit_spending","",""
"3/13/2019","Red Robin","RED ROBIN NO 343","28.61","debit","Restaurants","credit_spending","",""
"3/13/2019","Airport","NEW ORLEANS AIRPORT","12.06","debit","Travel","credit_spending","",""
"3/13/2019","AT&T","AT&T*BILL PAYMENT","189.86","debit","Home Phone","credit_bills","",""
"3/13/2019","Mtg Ins Payment","MTG INS PMT","80.85","credit","Loan Payment","MORTGAGE","",""
"3/12/2019","Uber.com","UBER   *TRIP OMEL7","10.00","debit","Rental Car & Taxi","credit_spending","",""
"3/12/2019","Walgreens","WALGREENS #5284","23.39","debit","Pharmacy","credit_spending","",""
"3/12/2019","Uber.com","UBER   *TRIP","33.85","debit","Rental Car & Taxi","credit_spending","",""
"3/12/2019","Hudson News","HUDSON NEWS ST1484","7.58","debit","Newspapers & Magazines","credit_spending","",""
"3/12/2019","Magnolia Praline","MAGNOLIA PRALINE","14.25","debit","Gift","credit_spending","",""
"3/12/2019","Curio","Curio","46.28","debit","Alcohol & Bars","credit_spending","",""
"3/12/2019","Eat","EAT NEW ORLEANS","21.67","debit","Restaurants","credit_spending","",""
"3/12/2019","Hudson News","HUDSON NEWS ST1480","28.66","debit","Newspapers & Magazines","credit_spending","",""
"3/12/2019","Hulu","HLU*Hulu 152535978843-U","11.99","debit","Movies & DVDs","credit_bills","",""
"3/11/2019","ATM Withdrawal","NON-CHASE ATM WITHDRAW088328  03/092381 St","82.75","debit","Cash & ATM","checking_spending","",""
"3/11/2019","Thorntons Inc","THORNTONS #0316","15.17","debit","Gas & Fuel","credit_spending","",""
"3/11/2019","Uber.com","UBER   *TRIP","9.51","debit","Rental Car & Taxi","credit_spending","",""
"3/11/2019","Aunt Sally's","AUNT SALLY'S PRALI","21.91","debit","Restaurants","credit_spending","",""
"3/11/2019","Great Am Bag","GREAT AM BAG 3 KSK ORD","11.47","debit","Restaurants","credit_spending","",""
"3/11/2019","Morettisristorantelakein","MORETTISRISTORANTELAKEIN","80.70","debit","Restaurants","credit_spending","",""
"3/11/2019","Il Tollway Autoreplenish","IL TOLLWAY-AUTOREPLENISH","20.00","debit","Gas & Fuel","credit_spending","",""
"3/11/2019","Bj Market K","BJ MARKET K15 ORD","14.98","debit","Groceries","credit_spending","",""
"3/11/2019","Amazon","AMZN Mktp US*MW8YJ5F71","8.97","debit","Shopping","credit_spending","",""
"3/11/2019","Port Call","PORT OF CALL","9.00","debit","Restaurants","credit_spending","",""
"3/11/2019","Uber.com","UBER   *TRIP 7XDQN","5.00","debit","Rental Car & Taxi","credit_spending","",""
"3/11/2019","Hudson News","HUDSON NEWS  ST849","23.63","debit","Newspapers & Magazines","credit_spending","",""
"3/11/2019","Hotel St Pierre","HOTEL ST PIERRE","161.13","debit","Hotel","credit_spending","",""
"3/11/2019","Levi's","LEVI'S #803","221.25","credit","Clothing","credit_spending","",""
"3/11/2019","Knot Wedding Registry","KNOT WEDDING REGISTRY","153.75","debit","Gift","credit_spending","",""
"3/11/2019","Bacchanalia","BACCHANAL LLC","27.04","debit","Food & Dining","credit_spending","",""
"3/11/2019","Port Call","PORT OF CALL","39.58","debit","Restaurants","credit_spending","",""
"3/11/2019","Keys Fuel Mart","KEYS FUEL MART 1","7.10","debit","Gas & Fuel","credit_spending","",""
"3/10/2019","Amazon","AMZN Mktp US*MI6WX3WX0","11.99","debit","Shopping","credit_spending","",""
"3/10/2019","Victoria's Secret","VICTORIA'S SECRET #1339","114.11","debit","Clothing","credit_spending","",""
"3/10/2019","Esplanade Mini Mart","ESPLANADE MINI MART","32.42","debit","Groceries","credit_spending","",""
"3/10/2019","Jewel","JEWEL-OSCO","49.27","debit","Groceries","credit_spending","",""
"3/10/2019","Levi's","LEVI'S #803","81.00","credit","Clothing","credit_spending","",""
"3/10/2019","Netflix","Netflix.com","10.99","debit","Movies & DVDs","credit_bills","",""
"3/08/2019","Toms Farm Market","SQ *TOMS FARM MARKET","5.00","debit","Groceries","credit_spending","",""
"3/08/2019","Naf Naf Grill","NAF NAF GRILL 009","10.40","debit","Restaurants","credit_spending","",""
"3/08/2019","Thorntons Inc","THORNTONS #0316","27.18","debit","Gas & Fuel","credit_spending","",""
"3/08/2019","Prime Video Mi","Prime Video*MI3X38IH0","3.99","debit","Movies & DVDs","credit_spending","",""
"3/08/2019","Beyond Tomorrow Comics","BEYOND TOMORROW COMICS","40.40","debit","S: Comic Books","credit_spending","",""
"3/08/2019","Bhn Giftcardmall","BHN*GIFTCARDMALL","25.00","debit","Restaurants","credit_spending","",""
"3/08/2019","Transfer to checking_bills","Online Transfer to  CHK ...4717transaction#: 7986254007 03/08","703.00","debit","Transfer","checking_spending","",""
"3/08/2019","Transfer to checking_savings","Online Transfer to  SAV ...6356transaction#: 7986254004","231.00","debit","Transfer","checking_spending","",""
"3/08/2019","Transfer from checking_spending","Online Transfer from  CHK ...4774 transaction#: 7986254004","231.00","credit","Transfer","checking_savings","",""
"3/08/2019","Transfer from checking_spending","Online Transfer from  CHK ...4774 transaction#: 7986254007","703.00","credit","Transfer","checking_bills","",""
"3/07/2019","Check","CHECK 1361","45.00","debit","Check","checking_spending","",""
"3/07/2019","Levi's","LEVI'S #803","34.99","credit","Clothing","credit_spending","",""
"3/07/2019","Amazon","AMZN Mktp US*MI5JK4W31","19.99","debit","Shopping","credit_spending","",""
"3/07/2019","Lids","LIDS.COM","23.36","debit","Clothing","credit_spending","",""
"3/07/2019","Thorntons Inc","THORNTONS #0316","22.12","debit","Gas & Fuel","credit_spending","",""
"3/07/2019","Amazon","AMZN Mktp US*MI6UF56C2","35.98","debit","Shopping","credit_spending","",""
"3/07/2019","Jewel","JEWEL-OSCO","9.40","debit","Groceries","credit_spending","",""
"3/07/2019","Lids","LIDS.COM","18.05","debit","Clothing","credit_spending","",""
"3/06/2019","Jewel","JEWEL-OSCO","81.10","debit","Groceries","credit_spending","",""
"3/06/2019","Amazon","Amazon.com*MI80X68S2","9.55","debit","Shopping","credit_spending","",""
"3/06/2019","Amazon","AMZN Mktp US*MI5PV8QZ2","65.97","debit","Shopping","credit_spending","",""
"3/06/2019","iTunes","APL*ITUNES.COM/BILL","2.99","debit","Music","credit_spending","",""
"3/05/2019","Amazon","AMZN Mktp US*MI22V8K10","10.05","debit","Shopping","credit_spending","",""
"3/05/2019","Billy's Hot Dog & Beef Express Inc","BILLYS HOT DOG AND BEEF E","35.88","debit","Fast Food","credit_spending","",""
"3/05/2019","Dt Duluth Trading","DT *DULUTH TRADING CO","76.47","credit","Credit Card Payment","credit_spending","",""
"3/05/2019","Walgreens","WALGREENS #5284","17.54","debit","Pharmacy","credit_spending","",""
"3/05/2019","Jewel","JEWEL-OSCO","44.07","debit","Groceries","credit_spending","",""
"3/05/2019","Comcast","COMCAST CHICAGO","79.95","debit","Television","credit_bills","",""
"3/05/2019","Wf Home Mtg","WF HOME MTG      AUTO PAY   0471893636      WEB ID: 1562287461","1608.19","debit","Mortgage & Rent","checking_bills","",""
"3/04/2019","Walgreens","WALGREENS #5284","39.40","debit","Pharmacy","credit_spending","",""
"3/04/2019","Flight Club Power Tumbling & T","FLIGHT CLUB POWER TUMBLIN","164.00","debit","Gym","credit_spending","",""
"3/04/2019","Target","TARGET        00018010","160.71","debit","S: Misc","credit_spending","",""
"3/04/2019","The Algonquin Sub Shop","THE ALGONQUIN SUB SHOP","33.67","debit","Fast Food","credit_spending","",""
"3/04/2019","Quickpay With Zelle","QuickPay with Zelle payment fromCHRISTINA C LAWSON 7994606029","20.00","credit","Credit Card Payment","checking_bills","",""
"3/03/2019","Fresh","FRESH THYME #101 MT PROSP","46.41","debit","Legal","credit_spending","",""
"3/03/2019","Trader Joe's","TRADER JOE'S #699  QPS","100.31","debit","Groceries","credit_spending","",""
"3/03/2019","American Eagle Outfitters","A EAGLE OUTFTR00006593","125.22","debit","Clothing","credit_spending","",""
"3/03/2019","Playstation Network","PLAYSTATION NETWORK","9.99","debit","Entertainment","credit_spending","",""
"3/03/2019","Playstation Network","PlaystationNetwork","3.99","debit","Entertainment","credit_spending","",""
"3/03/2019","Icp Stretch N","ICP*Stretch-n-Grow of McH","22.50","debit","Kids Activities","credit_spending","",""
"3/03/2019","Digitalocean.com","DIGITALOCEAN.COM","5.00","debit","Business Services","credit_bills","",""
"3/01/2019","Amazon","AMZN Mktp US*MI0OC76A0","0.19","debit","Shopping","credit_spending","",""
"3/01/2019","Amazon","AMZN Mktp US","26.99","credit","Shopping","credit_spending","",""
"3/01/2019","Taco Bell","TACO BELL 002131","6.96","debit","Fast Food","credit_spending","",""
"3/01/2019","Transfer from checking_spending","Payment Thank You - Web","5387.05","credit","Credit Card Payment","credit_spending","",""
"3/01/2019","Amazon","AMZN Mktp US","40.38","credit","Shopping","credit_spending","",""
"3/01/2019","Chicago Botanic Garden","CHICAGO BOTANIC GARDEN","42.00","debit","Restaurants","credit_spending","",""
"3/01/2019","Renovo Endodontic Studio","RENOVO ENDODONTIC STUDIO","887.80","debit","Dentist","credit_spending","",""
"3/01/2019","Audible.com","Audible US*MI1RN1XR2","14.95","debit","Books","credit_spending","",""
"3/01/2019","Amazon","Amazon.com*MI7ER82Y1","54.93","debit","Shopping","credit_spending","",""
"3/01/2019","Beyond Tomorrow Comics","BEYOND TOMORROW COMICS","50.27","debit","S: Comic Books","credit_spending","",""
"3/01/2019","Transfer from checking_bills","Payment Thank You - Web","418.76","credit","Credit Card Payment","credit_bills","",""
"3/01/2019","Transfer to checking_bills","Online Transfer to  CHK ...4717transaction#: 7963371330 03/01","703.00","debit","Transfer","checking_spending","",""
"3/01/2019","Transfer to credit_spending","Payment to Chase card ending in0545 03/01","5387.05","debit","Credit Card Payment","checking_spending","",""
"3/01/2019","Transfer to checking_savings","Online Transfer to  SAV ...6356transaction#: 7963371332","231.00","debit","Transfer","checking_spending","",""
"3/01/2019","Transfer from checking_spending","Online Transfer from  CHK ...4774 transaction#: 7963371332","231.00","credit","Transfer","checking_savings","",""
"3/01/2019","Ford","FORD MOTOR CR    FORDCREDITPPD ID: 3534610001","500.00","debit","Auto Payment","checking_bills","",""
"3/01/2019","Transfer to credit_bills","Payment to Chase card ending in5444 03/01","418.76","debit","Credit Card Payment","checking_bills","",""
